ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重,VO2Max
5,01:18.3,19:31,0.32,4:08:00,,188,193,0,12,,,,,167,206,左 48.3%／右 51.7%,1.42,8.9,6,20,,3:36:00,172,1:18,4:07:00,177,60,62
1,04:25.9,04:25.9,1,4:26:00,,157,178,0,4,,,,,168,205,左 42.0%／右 58.0%,1.32,9.3,7.2,54,,4:08:00,181,4:25,4:25:00,177,60,62
2,04:39.6,09:05.5,1,4:40:00,,180,188,20,9,,,,,170,210,左 41.8%／右 58.2%,1.26,8.9,6.8,66,,4:25:00,175,04:39.6,4:40:00,177,60,62
3,04:49.1,13:55,1,4:49:00,,185,189,15,2,,,,,172,216,左 42.0%／右 58.0%,1.22,8.2,6.5,71,,4:38:00,179,4:48,4:48:00,177,60,62
4,05:03.4,18:58,1,5:03:00,,182,190,26,10,,,,,172,216,左 43.5%／右 56.5%,1.17,8.2,6.8,73,,4:36:00,175,05:03.4,5:03:00,177,60,62
5,04:38.2,23:36,1,4:38:00,,175,188,23,45,,,,,171,214,左 45.7%／右 54.3%,1.22,8.8,7,64,,4:01:00,173,04:38.2,4:38:00,177,60,62
6,04:35.7,28:12:00,1,4:36:00,,175,182,9,20,,,,,172,209,左 43.4%／右 56.6%,1.28,8.7,6.6,63,,4:08:00,174,4:35,4:35:00,177,60,62
7,00:42.3,28:54:00,0.16,4:21:00,,176,182,,,,,,,171,212,左 41.8%／右 58.2%,1.33,9.1,6.6,9,,4:15:00,172,0:42,4:19:00,177,60,62
1,04:31.0,04:31.0,1,4:31:00,,156,172,,,,,,,174,205,左 42.8%／右 57.2%,1.29,7.8,5.8,54,,4:09:00,179,4:20,4:20:00,177,60,62
2,04:37.7,09:08.6,1,4:38:00,,176,186,,,,,,,171,206,左 44.6%／右 55.4%,1.27,8.1,6.3,64,,3:15:00,178,04:37.7,4:38:00,177,60,62
3,04:31.0,13:40,1,4:31:00,,188,195,,,,,,,169,209,左 45.5%／右 54.5%,1.31,8.4,6.2,68,,4:00:00,172,04:31.0,4:31:00,177,60,62
